Label,New Jersey!!2019 Estimate,New Jersey!!2018 Estimate,New Jersey!!2019 - 2018 Statistical Significance,New Jersey!!2017 Estimate,New Jersey!!2019 - 2017 Statistical Significance,New Jersey!!2016 Estimate,New Jersey!!2019 - 2016 Statistical Significance,New Jersey!!2015 Estimate,New Jersey!!2019 - 2015 Statistical Significance,"Newark city, New Jersey!!2019 Estimate","Newark city, New Jersey!!2018 Estimate","Newark city, New Jersey!!2019 - 2018 Statistical Significance","Newark city, New Jersey!!2017 Estimate","Newark city, New Jersey!!2019 - 2017 Statistical Significance","Newark city, New Jersey!!2016 Estimate","Newark city, New Jersey!!2019 - 2016 Statistical Significance","Newark city, New Jersey!!2015 Estimate","Newark city, New Jersey!!2019 - 2015 Statistical Significance"
"        $1,500 to $1,999",23.50%,22.80%,,23.00%,,21.40%,*,21.10%,*,18.00%,18.50%,,18.00%,,14.60%,*,13.90%,*
"        $2,000 to $2,499",9.20%,9.10%,,8.70%,,8.50%,*,8.30%,*,2.50%,1.80%,,2.30%,,1.70%,,1.80%,
"        $2,500 to $2,999",4.10%,3.80%,,3.50%,*,3.80%,,3.20%,*,1.00%,0.30%,,0.00%,*,0.30%,*,0.50%,
"        $3,000 or more",3.70%,3.10%,*,2.70%,*,3.10%,*,3.00%,*,0.40%,0.20%,,0.00%,,0.50%,,0.30%,
        Median (dollars),"1,376","1,355",*,"1,338",*,"1,329",*,"1,310",*,"1,129","1,108",,"1,108",,"1,082",*,"1,048",*
        No rent paid,"33,289","32,785",,"35,428",,"39,079",*,"44,629",*,"1,564","1,138",,"1,114",,"1,619",,916,
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,,,,,,,,,,,,,,,,,
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"1,146,733","1,116,257",*,"1,105,474",*,"1,112,509",*,"1,106,052",*,"72,392","75,301",,"69,806",,"74,700",,"74,833",
        Less than 15.0 percent,12.20%,12.50%,,12.00%,,11.70%,,11.80%,,11.30%,11.80%,,8.20%,*,9.60%,,11.30%,
        15.0 to 19.9 percent,13.60%,11.90%,*,13.20%,,12.20%,*,11.00%,*,10.80%,10.10%,,9.90%,,7.60%,*,6.90%,*
        20.0 to 24.9 percent,13.40%,12.90%,,11.90%,*,12.60%,*,12.30%,*,12.00%,10.50%,,8.50%,*,8.70%,*,8.40%,*
        25.0 to 29.9 percent,11.90%,11.70%,,11.30%,,11.80%,,11.10%,,10.00%,9.50%,,10.70%,,12.00%,,9.30%,
        30.0 to 34.9 percent,8.80%,8.30%,,9.40%,,9.00%,,9.70%,*,8.10%,7.90%,,10.20%,,8.50%,,11.50%,*
        35.0 percent or more,40.20%,42.60%,*,42.30%,*,42.90%,*,44.10%,*,47.70%,50.20%,,52.50%,,53.50%,*,52.70%,*
        Not computed,"57,733","54,362",,"59,395",,"62,083",,"72,877",*,"5,129","4,083",,"3,976",,"4,037",,"3,201",*
